,id,stmt_date,HQ_city,legal_struct,ateco_sector,def_date,fs_year,asst_intang_fixed,asst_tang_fixed,asst_fixed_fin,asst_current,AR,cash_and_equiv,asst_tot,eqty_tot,eqty_corp_family_tot,liab_lt,liab_lt_emp,debt_bank_st,debt_bank_lt,debt_fin_st,debt_fin_lt,AP_st,AP_lt,debt_st,debt_lt,rev_operating,COGS,prof_operations,goodwill,inc_financing,exp_financing,prof_financing,inc_extraord,taxes,profit,days_rec,ebitda,roa,roe,wc_net,margin_fin,cf_operations
1630,36220135,12/31/07,108,SAU,28,12/31/99,2007,16159,2643651,909355,2512971,974353,1538618,6495259,5939146,,0,0,0,0,0,0,4920,0,498291,0,1447365,322918,1124447,1371337,1500498,410,0,-1024,2623921,2172169,,1371337,17.31,36.57,2014680,2369981,2419059
2178,40700775,12/31/07,77,SRL,23,12/31/99,2007,30150,6087428,64293,12963113,12841835,55881,19257790,10177800,,522756,131244,0,0,1808671,0,4593166,0,8425991,0,8124232,7378931,745301,2676561,-51645,53904,0,-407687,285969,86481,-46.69,2083697,3.87,0.85,4537122,3995928,1424877
430,11540689,12/31/07,68,SPA,10,12/31/99,2007,257440,1581628,145067,5294191,3412087,174852,7405895,895809,,0,211498,2582237,1179945,0,0,2056927,0,4830883,1243127,6126444,5853487,272957,1430280,-193688,195202,-77108,-56413,-54252,-116042,242.38,404853,3.69,-12.95,463308,-1088326,15854
2156,40600579,12/31/07,57,SPA,10,12/31/99,2007,36711,1199476,103,1678480,1419816,7027,2924566,800363,,595,176555,564902,409669,110789,0,609299,0,1506614,434592,1812416,1726250,86166,405510,-72518,74298,0,-3995,9653,-24856,196.66,178873,2.95,-3.11,171866,-435927,67851
843,21000161,12/31/07,97,SPA,25,12/31/99,2007,32557,936821,0,6126626,3584727,1366447,7111559,2843457,,100575,564171,19,0,0,0,2902451,0,3365277,224738,10731541,10507959,223582,2499319,40687,1176,0,6564,270833,83815,50.41,452830,3.14,2.95,2761349,1874079,313063
1319,30430581,12/31/07,58,SRL,46,12/31/99,2007,542201,993155,68812,3109872,1058702,173544,4714317,2049732,,162803,154365,365120,1490094,9460,0,386801,0,796343,1549395,3127665,3224245,-96580,270191,-134592,143064,0,22522,-208650,-221331,,-150362,-2.05,-10.8,2313529,445564,-275113
4490025,3737571004,12/31/07,58,SRL,41,8/9/10,2007,107742,49001,0,1738473,202740,9046,1895216,127838,,1537,123262,,,,,,,437350,1205229,1260755,1191348,69407,422508,-43328,43328,0,2920,28999,58,,94913,3.66,0.05,1301123,-28905,25564
463,12520409,12/31/07,40,SRL,28,12/31/99,2007,419836,618812,90529,3746583,2324086,3027,4907443,208610,,0,741858,2683682,0,136979,0,640119,0,3938555,0,5190683,4887083,303600,2247053,-177582,177582,0,0,126018,18858,,509862,6.19,9.04,-191972,-920567,225120
1380,31420375,12/31/07,58,SAU,43,12/31/99,2007,875865,65212,2674227,9510280,9282925,227355,13361161,2576941,,93716,2735839,2152069,0,136113,0,1210016,0,7615566,0,16234470,15884812,349658,11923701,-188242,205266,0,532942,694358,3844,79.01,469615,2.62,0.15,1894714,-1038363,123801
1463,33390949,12/31/07,94,SRL,69,12/31/99,2007,437,1625943,895856,95516,78184,17332,2618430,2170216,,0,0,0,0,0,0,268663,0,446209,0,104744,192733,-87989,-4634,-2728,2970,0,11684,-79033,-79033,,-4634,-3.36,-3.64,-350693,-352020,4322
387,9940156,12/31/07,108,SRL,22,12/31/99,2007,0,1440436,3188,2336523,1880893,45410,3829183,2528669,,0,67792,46630,208860,0,0,925947,0,1022830,208860,3825880,3485013,340867,990740,-10813,15285,0,0,330054,187328,,693624,8.9,7.41,1313693,1085045,540085
2587,42050294,12/31/07,29,SRL,13,12/31/99,2007,3971,510427,385483,3003262,1330901,29801,4336204,2165677,,2947,236166,852376,668676,0,0,228494,0,1190989,668676,2891830,2786417,105413,902771,-98848,100914,0,-3,6562,-45830,,149804,2.43,-2.12,1812273,1265796,-1439
2277,40910291,12/31/07,29,SRL,23,12/31/99,2007,26613,2532415,15802,3852635,3225527,443244,6453001,2379548,,326820,580826,0,0,50342,0,2797904,2726,3162168,2726,8705430,8763396,-57966,1766998,35269,4481,0,111260,88563,6509,-7.36,427038,-0.9,0.27,690467,-195282,491513
2041,40390072,12/31/07,7,SRL,41,12/31/99,2007,1123,316174,257428,4238899,548748,101797,4843888,83981,,17597,231203,280288,149996,0,0,582844,0,4358452,149996,2921568,2778863,142705,1170707,-66473,71911,0,0,76232,3889,,196961,2.95,4.63,-119553,-490744,58145
1114,26880286,12/31/07,28,SRL,29,12/31/99,2007,936,1663353,303781,5957227,2327310,174061,8431885,1510629,,30206,553169,2562369,75000,0,0,2668236,0,6107862,218654,11346274,11149073,197201,1816971,-156380,162288,20000,790,61611,-68083,163.67,317337,2.34,-4.51,-150635,-457441,52053
4603026,10658380158,12/31/07,15,SRL,46,2/9/11,2007,80218,207010,6154,4460897,2247984,92307,4754279,133943,,0,2658,1645508,34261,0,0,2693281,0,4583417,34261,4279610,4066718,212892,316378,-149144,152029,0,0,63748,-15390,,263664,4.48,-11.49,-122520,-159439,35382
1556,35130079,12/31/07,7,SPA,49,12/31/99,2007,1737060,21929329,73036,9721920,8282311,1204271,33628454,11358863,,21372,1235616,0,0,0,0,1122759,0,2830278,7884062,10023267,9701063,322204,6132626,83565,201207,-225,0,405544,95191,-31.94,2521561,0.96,0.84,6891642,-12380562,2294548
1873,39940127,12/31/07,12,SRL,26,12/31/99,2007,40286,770930,3112,1425949,810106,1098,2269466,195467,,0,267220,681091,556077,0,0,247048,0,1063070,740877,2348758,2113481,235277,881500,-141535,146492,0,12731,106473,55375,301.57,315559,10.37,28.33,362879,-618861,135657
1005,25150236,12/31/07,23,SRL,46,12/31/99,2007,0,101359,16,1794025,1384176,339400,1903268,336904,,0,116949,0,0,0,0,1280163,0,1449415,0,9478207,9292579,185628,599086,3463,575,0,6329,195420,104349,,221285,9.75,30.97,344610,235529,140006
1298,30280267,12/31/07,26,SPA,43,12/31/99,2007,3201052,342941,190615,11301653,8724760,267232,15053878,2065866,,1664118,936436,874524,750000,0,0,5611572,0,9334759,1037979,24517083,23501351,1015732,7371047,-52440,134518,0,-305904,657388,16526,83.16,1719917,6.75,0.8,1966894,-1668742,720711
878,21880034,12/31/07,103,SAU,14,12/31/99,2007,19802,859133,0,13674418,11286625,1383512,14637617,4612635,,328637,952904,4754303,0,0,0,2871649,0,8574927,0,19120304,16362025,2758279,5850186,-114210,152366,0,647,2644716,1519188,194.58,3094504,18.84,32.94,5099491,3733700,1855413
1477,34020453,12/31/07,45,SRL,45,12/31/99,2007,94891,1799696,804407,821822,185042,636780,3571266,146833,,44,0,0,,0,,0,,882397,2529297,309412,252848,56564,117308,-45149,45149,0,6142,17557,2293,,117308,1.58,1.56,-60575,-2552161,63037
1031,25590282,12/31/07,28,SRL,49,12/31/99,2007,0,159724,0,1655042,1612340,42702,1814766,417783,,15128,39609,82473,0,0,0,334876,0,1314961,0,1144328,1028633,115695,456133,-12270,12271,0,1,103426,61884,295.37,192846,6.38,14.81,340081,258059,139035
1882,39960893,12/31/07,89,SAU,50,12/31/99,2007,381,40452987,367,24688153,2102228,22585925,65175492,58520813,,3932239,145860,0,0,0,0,614060,0,2570485,0,32843393,21865985,10977408,25389480,-1243465,447625,0,370659,10104602,10104602,-18.84,15559272,16.84,17.27,22117668,18067078,14686466
4573332,4574680155,12/31/07,15,SRL,10,2/9/11,2007,97995,239102,0,1212612,978467,12353,1599209,30548,,0,24459,326838,397994,0,0,559686,0,1146208,397994,3287188,3168382,118806,295819,-82148,83402,0,0,36658,18086,44.7,160721,7.43,59.21,66404,-306549,60001
1561,35150077,12/31/07,7,SRL,18,12/31/99,2007,24553,2268407,88632,1673857,899777,642761,4136040,1059611,,17845,244562,,,,,,,967914,1749529,2446607,2388443,58164,830542,-52291,65378,0,4469,10342,-18418,,168883,1.41,-1.74,705943,-1321981,92301
758,19100288,12/31/07,28,SRL,29,12/31/99,2007,3103,224719,516,1323454,1029034,258663,1557246,464999,,27082,338113,143853,0,0,0,357708,0,727020,0,3236416,3127953,108463,1223986,-26800,28076,0,20910,102573,16610,,186149,6.97,3.57,596434,236661,94296
